candidate,classification,legacy_trades,corrected_trades,legacy_pf,corrected_pf,legacy_expectancy_r,corrected_expectancy_r,holm_adjusted_p,legacy_deterministic,corrected_deterministic,validated
phase1/DUAL_EMA_IMPULSE__LONG,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,70,70,1.0933595869840385,1.0678151655660981,0.035225735479941477,0.026395059508535493,1.0,True,True,False
phase1/DUAL_EMA_IMPULSE__SHORT,IMPROVED_OR_MIXED_NOT_VALIDATED,91,90,1.2474843282309156,1.2836874077799292,0.08707079942624356,0.09982055196632597,1.0,True,True,False
phase1/MOMENTUM_ACCELERATION__LONG,IMPROVED_OR_MIXED_NOT_VALIDATED,56,56,1.5051873603986543,1.6200695470930744,0.1506334258442584,0.17774987608439471,1.0,True,True,False
phase1/MOMENTUM_ACCELERATION__SHORT,IMPROVED_OR_MIXED_NOT_VALIDATED,39,39,1.3491608085179696,1.4270116482468724,0.09293723945241078,0.1127405588270677,1.0,True,True,False
phase1/RANGE_EXTREME_REVERSION__LONG,IMPROVED_OR_MIXED_NOT_VALIDATED,118,118,0.7111414110843153,0.7340925774758996,-0.11437612008628155,-0.10384558124220437,1.0,True,True,False
phase1/RANGE_EXTREME_REVERSION__SHORT,IMPROVED_OR_MIXED_NOT_VALIDATED,86,85,0.6103189520240462,0.64911905767996,-0.16477417723556365,-0.1525560030775071,1.0,True,True,False
phase1/TREND_PULLBACK_RESUMPTION__LONG,IMPROVED_OR_MIXED_NOT_VALIDATED,323,320,0.9497991554408687,1.0000585641427775,-0.02162546618584555,0.0008572404098975472,1.0,True,True,False
phase1/TREND_PULLBACK_RESUMPTION__SHORT,DECLINED,352,345,0.9551190578347641,0.9195876016078486,-0.018442346343984686,-0.03449544727299628,1.0,True,True,False
phase1/VOLATILITY_COMPRESSION_EXPANSION__LONG,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,155,155,1.1441886632515497,1.1360114732671471,0.05423381288103336,0.05273296326178924,1.0,True,True,False
phase1/VOLATILITY_COMPRESSION_EXPANSION__SHORT,DECLINED,116,116,1.5225752707075364,1.436736400699479,0.1628575137279546,0.1407322796407853,1.0,True,True,False
phase2/COMPRESSION_SCALE_OUT__LONG,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,176,175,1.0819192954806807,1.0708270129095425,0.030909383991496474,0.027306663043016093,1.0,True,True,False
phase2/COMPRESSION_SCALE_OUT__SHORT,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,139,139,1.3357971345504929,1.3268782695378347,0.10821988691053328,0.10553661043591231,1.0,True,True,False
phase2/COMPRESSION_TIME_DECAY__LONG,IMPROVED_OR_MIXED_NOT_VALIDATED,187,184,1.0016074001527413,1.0528281527960568,0.0011290772725242708,0.020108401328438955,1.0,True,True,False
phase2/COMPRESSION_TIME_DECAY__SHORT,IMPROVED_OR_MIXED_NOT_VALIDATED,139,139,1.282465969044603,1.2990345381265453,0.09037597348789211,0.10280657706573791,1.0,True,True,False
phase2/DIRECTIONAL_RANGE_EXPANSION__LONG,EDGE_DISAPPEARED,182,179,1.0281882716671928,0.9955222778822368,0.011581870463523618,-0.0011083693413014096,1.0,True,True,False
phase2/DIRECTIONAL_RANGE_EXPANSION__SHORT,DECLINED,147,145,1.5708982757023089,1.4218034216538864,0.18414370065268088,0.14540524841156788,0.9397650587353162,True,True,False
phase2/VOLATILITY_TRANSITION_BREAK__LONG,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,7,7,1.8360729511043201,1.8022683655689813,0.15980853411431578,0.15892917253569658,1.0,True,True,False
phase2/VOLATILITY_TRANSITION_BREAK__SHORT,DECLINED,16,16,1.5840564241625905,1.2333789434923734,0.1785963779612559,0.0855131062672333,1.0,True,True,False
phase3/DIRECTIONAL_RANGE_EXPANSION_EARLY_PROTECT__LONG,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,179,179,1.1445675077156117,1.1688962085132621,0.050823280051065046,0.05887818446526798,1.0,True,True,False
phase3/DIRECTIONAL_RANGE_EXPANSION_EARLY_PROTECT__SHORT,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,145,145,1.4675455039393668,1.4763940305275118,0.14372392341479112,0.14950637728778388,1.0,True,True,False
phase3/DIRECTIONAL_RANGE_EXPANSION_RISK_SHAPED__LONG,IMPROVED_OR_MIXED_NOT_VALIDATED,184,182,1.1294293074085153,1.1750221271481631,0.03558864078977044,0.04990034312676977,1.0,True,True,False
phase3/DIRECTIONAL_RANGE_EXPANSION_RISK_SHAPED__SHORT,IMPROVED_OR_MIXED_NOT_VALIDATED,151,150,1.1682701553664696,1.3565176364914586,0.04675534229553939,0.0971258070776184,1.0,True,True,False
phase3/DIRECTIONAL_RANGE_EXPANSION_SCALEOUT_ONLY__LONG,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,178,178,1.1443430429795818,1.1629267729390946,0.04541584471106513,0.05108744920736334,1.0,True,True,False
phase3/DIRECTIONAL_RANGE_EXPANSION_SCALEOUT_ONLY__SHORT,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,146,146,1.4304502945311626,1.4298221532747006,0.11951270406238827,0.12163099510328543,0.9017745563609099,True,True,False
phase4/BREAKOUT_FOLLOW_THROUGH_CONFIRMATION__LONG,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,34,35,0.8973103923567797,0.9137635825586897,-0.034610623355106986,-0.02965027052841804,1.0,True,True,False
phase4/BREAKOUT_FOLLOW_THROUGH_CONFIRMATION__SHORT,IMPROVED_OR_MIXED_NOT_VALIDATED,43,44,1.4012384557186117,1.6103084904361866,0.11986230119516288,0.1758190247377905,1.0,True,True,False
phase4/BREAKOUT_RETEST_CONTINUATION__LONG,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,135,139,0.8225148768162999,0.8380533673850153,-0.07301552495585793,-0.06749285284566099,1.0,True,True,False
phase4/BREAKOUT_RETEST_CONTINUATION__SHORT,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,134,139,0.9543730052177614,0.9774023118810516,-0.016836925920835417,-0.00808000508592445,1.0,True,True,False
phase4/CHANDELIER_TIME_SERIES_MOMENTUM__LONG,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,233,233,1.0617356424850741,1.0710759732865196,0.025877959449028747,0.029635973553502504,1.0,True,True,False
phase4/CHANDELIER_TIME_SERIES_MOMENTUM__SHORT,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,234,234,0.9845010724939187,0.9842600257424658,-0.005342619870105545,-0.005427731238755771,1.0,True,True,False
phase4/TREND_EMA_REJECTION__LONG,DECLINED,552,550,0.9212938470519971,0.8912792403597417,-0.02780753487465982,-0.039397121785178825,1.0,True,True,False
phase4/TREND_EMA_REJECTION__SHORT,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,522,517,0.968583161002927,0.978189928239107,-0.010486590629028899,-0.007192490136028982,1.0,True,True,False
phase5/DRE_FAST_FAILURE_SCALEOUT__LONG,IMPROVED_OR_MIXED_NOT_VALIDATED,187,183,1.049902448249925,1.097108312075527,0.01412124393614312,0.028135184547667124,1.0,True,True,False
phase5/DRE_FAST_FAILURE_SCALEOUT__SHORT,DECLINED,148,148,1.406819135873579,1.3566383910197863,0.1044185865718609,0.0991195192525028,1.0,True,True,False
phase5/DRE_FAST_FAILURE__LONG,IMPROVED_OR_MIXED_NOT_VALIDATED,187,183,1.1070130675179866,1.134231899200415,0.033936227776927494,0.04408762944575735,1.0,True,True,False
phase5/DRE_FAST_FAILURE__SHORT,ESSENTIALLY_UNCHANGED_NOT_VALIDATED,147,147,1.4975770980799836,1.477862332909988,0.13924630868165022,0.14386856012223934,1.0,True,True,False
phase5/DRE_SHORT_HORIZON_ASYMMETRY__LONG,IMPROVED_OR_MIXED_NOT_VALIDATED,190,189,0.9308458547089131,0.9978639113558981,-0.01850781785067817,-0.00021832677774564685,1.0,True,True,False
phase5/DRE_SHORT_HORIZON_ASYMMETRY__SHORT,DECLINED,154,154,1.2800020659897307,1.2006793350239444,0.07449149775158313,0.05681198226465924,1.0,True,True,False
phase6/ASYMMETRIC_MULTI_PATTERN_ENSEMBLE,DECLINED,461,341,1.386615061478995,1.1952900261072166,0.1291126150462885,0.0727020694299754,1.0,True,True,False
phase6/TWO_SLEEVE_MOMENTUM_ENSEMBLE,DECLINED,203,201,1.553961053389487,1.4697629074526342,0.1748994869124264,0.15441668696718133,0.25793551612096977,True,True,False
phase7/DUAL_RISK_GOVERNOR,DECLINED,420,313,1.5084790058168216,1.2495877684685313,0.16193838964822915,0.09051526109934191,1.0,True,True,False
phase7/PORTFOLIO_LOSS_CLUSTER_COOLDOWN,DECLINED,405,314,1.4037075400483312,1.2613093449002364,0.13577082411268848,0.09464653066117523,0.5353661584603849,True,True,False
phase7/SLEEVE_CONSECUTIVE_LOSS_COOLDOWN,DECLINED,437,326,1.4065411605915012,1.2336691548689918,0.1335580540491712,0.08503288138403638,1.0,True,True,False
