candidate,architecture,side,variant_id,metric_trades,metric_profit_factor,metric_expectancy_r,metric_return_r,metric_win_rate_pct,metric_max_drawdown_r,p_value,holm_adjusted_p,passes_holm_fwer
TREND_PULLBACK_RESUMPTION__LONG__CENTRAL,TREND_PULLBACK_RESUMPTION,LONG,CENTRAL,320,1.0000585641427775,0.0008572404098975472,0.2743169311672151,39.6875,-25.547993774542686,0.48562859285178706,1.0,False
TREND_PULLBACK_RESUMPTION__LONG__regime_threshold=0.2,TREND_PULLBACK_RESUMPTION,LONG,regime_threshold=0.2,326,1.0319287392117042,0.014680222584788603,4.785752562641084,40.49079754601227,-22.730220222602085,0.3939015246188453,1.0,False
TREND_PULLBACK_RESUMPTION__LONG__regime_threshold=0.3,TREND_PULLBACK_RESUMPTION,LONG,regime_threshold=0.3,314,0.9979695239004457,-6.959403428970073e-05,-0.02185252676696603,39.80891719745223,-25.330662467582354,0.4891277180704824,1.0,False
TREND_PULLBACK_RESUMPTION__LONG__pullback_lookback=2,TREND_PULLBACK_RESUMPTION,LONG,pullback_lookback=2,312,0.9527895083737618,-0.020690435221302057,-6.455415789046242,38.46153846153847,-28.623159820251914,0.6350912271932017,1.0,False
TREND_PULLBACK_RESUMPTION__LONG__pullback_lookback=4,TREND_PULLBACK_RESUMPTION,LONG,pullback_lookback=4,328,0.9826400557976737,-0.006914715028248851,-2.268026529265623,39.329268292682926,-25.64813091560608,0.5393651587103224,1.0,False
TREND_PULLBACK_RESUMPTION__LONG__rel_volume_min=0.65,TREND_PULLBACK_RESUMPTION,LONG,rel_volume_min=0.65,341,0.990928827709079,-0.0031947629141522048,-1.089414153725902,38.12316715542522,-22.11114869372629,0.5208697825543614,1.0,False
TREND_PULLBACK_RESUMPTION__LONG__rel_volume_min=0.9,TREND_PULLBACK_RESUMPTION,LONG,rel_volume_min=0.9,276,1.0000754540350327,0.0008782504592978252,0.24239712676619973,39.492753623188406,-25.61176824447214,0.4878780304923769,1.0,False
TREND_PULLBACK_RESUMPTION__LONG__reward_risk=1.8,TREND_PULLBACK_RESUMPTION,LONG,reward_risk=1.8,320,1.0027753314896046,0.002036118746730564,0.6515579989537805,39.6875,-23.776215143377517,0.4843789052736816,1.0,False
TREND_PULLBACK_RESUMPTION__LONG__reward_risk=2.2,TREND_PULLBACK_RESUMPTION,LONG,reward_risk=2.2,320,1.0131710573372417,0.006696660035042512,2.142931211213604,39.6875,-22.544153481820032,0.4456385903524119,1.0,False
TREND_PULLBACK_RESUMPTION__SHORT__CENTRAL,TREND_PULLBACK_RESUMPTION,SHORT,CENTRAL,345,0.9195876016078486,-0.03449544727299628,-11.900929309183716,34.20289855072463,-42.59588265827537,0.7350662334416396,1.0,False
TREND_PULLBACK_RESUMPTION__SHORT__regime_threshold=0.2,TREND_PULLBACK_RESUMPTION,SHORT,regime_threshold=0.2,352,0.922328704796955,-0.033080386819132876,-11.644296160334772,34.090909090909086,-41.710260340447654,0.7260684828792802,1.0,False
TREND_PULLBACK_RESUMPTION__SHORT__regime_threshold=0.3,TREND_PULLBACK_RESUMPTION,SHORT,regime_threshold=0.3,339,0.9135135064040701,-0.03692958888025754,-12.519130630407306,33.92330383480826,-38.69212336574955,0.7603099225193701,1.0,False
TREND_PULLBACK_RESUMPTION__SHORT__pullback_lookback=2,TREND_PULLBACK_RESUMPTION,SHORT,pullback_lookback=2,330,0.9239130589053015,-0.03240289102418455,-10.692954037980902,33.939393939393945,-39.22050499618055,0.7108222944263934,1.0,False
TREND_PULLBACK_RESUMPTION__SHORT__pullback_lookback=4,TREND_PULLBACK_RESUMPTION,SHORT,pullback_lookback=4,350,0.9448107300883671,-0.023247164242992814,-8.136507485047485,34.85714285714286,-38.831460834139136,0.6653336665833541,1.0,False
TREND_PULLBACK_RESUMPTION__SHORT__rel_volume_min=0.65,TREND_PULLBACK_RESUMPTION,SHORT,rel_volume_min=0.65,366,0.9595650134608013,-0.01710332760300929,-6.2598179027014,35.51912568306011,-37.786913593760374,0.6195951012246939,1.0,False
TREND_PULLBACK_RESUMPTION__SHORT__rel_volume_min=0.9,TREND_PULLBACK_RESUMPTION,SHORT,rel_volume_min=0.9,320,0.9178483812418727,-0.0357046186467009,-11.425477966944289,35.3125,-35.43956014694984,0.7400649837540615,1.0,False
TREND_PULLBACK_RESUMPTION__SHORT__reward_risk=1.8,TREND_PULLBACK_RESUMPTION,SHORT,reward_risk=1.8,345,0.8999675484305791,-0.043238729532382544,-14.917361688671978,34.20289855072463,-42.61376936577089,0.7858035491127218,1.0,False
TREND_PULLBACK_RESUMPTION__SHORT__reward_risk=2.2,TREND_PULLBACK_RESUMPTION,SHORT,reward_risk=2.2,345,0.9064272465325764,-0.04025841781748834,-13.889154147033477,34.20289855072463,-45.18943101160542,0.7533116720819795,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__CENTRAL,VOLATILITY_COMPRESSION_EXPANSION,LONG,CENTRAL,155,1.1360114732671471,0.05273296326178924,8.173609305577331,45.16129032258064,-13.130541506081581,0.24068982754311422,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__compression_bars=10,VOLATILITY_COMPRESSION_EXPANSION,LONG,compression_bars=10,177,1.1421460381190855,0.05495518543862194,9.727067822636084,44.632768361581924,-11.862862269914253,0.213696575856036,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__compression_bars=14,VOLATILITY_COMPRESSION_EXPANSION,LONG,compression_bars=14,129,1.19262744955418,0.07335625578642026,9.462956996448213,45.73643410852713,-14.672050316038062,0.21144713821544614,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__expansion_range_atr_min=1.0,VOLATILITY_COMPRESSION_EXPANSION,LONG,expansion_range_atr_min=1.0,166,1.1112721051336865,0.04279388505202806,7.1037849186366575,43.97590361445783,-14.312637036740032,0.2781804548862784,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__expansion_range_atr_min=1.3,VOLATILITY_COMPRESSION_EXPANSION,LONG,expansion_range_atr_min=1.3,145,1.1998718054694166,0.0757576856708386,10.984864422271597,47.58620689655172,-9.399334820341121,0.1519620094976256,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__rel_volume_min=1.0,VOLATILITY_COMPRESSION_EXPANSION,LONG,rel_volume_min=1.0,159,1.1034130968839673,0.04147109443280292,6.5939040148156645,44.0251572327044,-14.550546356772712,0.2896775806048488,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__rel_volume_min=1.25,VOLATILITY_COMPRESSION_EXPANSION,LONG,rel_volume_min=1.25,144,1.220485458671455,0.08101353394014058,11.665948887380242,45.83333333333333,-8.167041323244735,0.13321669582604348,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__reward_risk=2.0,VOLATILITY_COMPRESSION_EXPANSION,LONG,reward_risk=2.0,155,1.075020767275755,0.029356142911987185,4.550202151358014,45.16129032258064,-14.099770844142046,0.34791302174456384,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__reward_risk=2.4,VOLATILITY_COMPRESSION_EXPANSION,LONG,reward_risk=2.4,155,1.149932221918522,0.05807732250818048,9.001984988767974,45.16129032258064,-13.41330931452173,0.2224443889027743,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__SHORT__CENTRAL,VOLATILITY_COMPRESSION_EXPANSION,SHORT,CENTRAL,116,1.436736400699479,0.1407322796407853,16.324944438331094,43.96551724137931,-5.519960571932556,0.0379905023744064,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__SHORT__compression_bars=10,VOLATILITY_COMPRESSION_EXPANSION,SHORT,compression_bars=10,142,1.4098091539666004,0.1335856912123326,18.96916815215123,44.36619718309859,-5.511183923731419,0.03074231442139465,1.0,False
