session,sleeve,mode,side,createdAt,confirmationAt,entry,A,E,R,stopDistance,targetDistance,stopLoss,takeProfit,quantity,outcome,exitAt
20260722_120527,P01,,LONG,1784683568208,1784683583449,1930.47,1.362,0.03,2.76,1.37,4.22,1929.10,1934.69,2,TP,1784684022366
20260722_120527,P01,,LONG,1784687980237,1784688026315,1927.54,1.2735,0.71,3.21,1.28,4.08,1926.26,1931.62,2,TP,1784689376773
20260722_120527,P02,REVERSAL,SHORT,1784712787594,1784712815163,1922.86,0.7485,0.01,1.38,0.75,2.80,1923.61,1920.06,3,TP,1784712869688
20260722_193416,P02,TREND,SHORT,1784721758327,1784721799190,1924.80,0.9035,0.39,0.66,0.91,2.80,1925.71,1922.00,3,TP,1784722075589
20260722_193416,P01,,LONG,1784725156004,1784725173771,1916.73,1.6555,0.22,4.11,1.66,5.29,1915.07,1922.02,2,TP,1784727021645
20260722_231944,P02,TREND,SHORT,1784744545855,1784744576487,1932.50,1.851,0.48,0.20,1.86,5.03,1934.36,1927.47,2,TP,1784745165357
20260722_231944,P02,TREND,SHORT,1784745374387,1784745403074,1925.72,2.097,0.46,1.62,2.10,5.50,1927.82,1920.22,2,TP,1784746029366
20260723_200606,P01,,SHORT,1784818256371,1784818316391,1894.38,2.0985,1.32,3.66,2.10,5.50,1896.48,1888.88,2,TP,1784819427602
20260723_200606,P01,,LONG,1784819790153,1784819855421,1885.58,2.3335,0.76,3.55,2.34,5.50,1883.24,1891.08,2,TP,1784820095259
20260724_101017,P02,REVERSAL,LONG,1784845278310,1784845301313,1878.03,1.5015,0.01,1.20,1.51,4.29,1876.52,1882.32,2,TP,1784846377462
20260724_101017,P02,TREND,SHORT,1784853159981,1784853180434,1869.59,1.501,0.01,1.29,1.51,4.31,1871.10,1865.28,2,TP,1784853255011
20260724_135021,P01,,SHORT,1784880685356,1784880701027,1892.67,1.0035,0.01,1.72,1.01,3.05,1893.68,1889.62,2,TP,1784881336857
20260724_172126,P02,TREND,SHORT,1784898373089,1784898411469,1866.29,2.0005,0.16,2.29,2.01,5.50,1868.30,1860.79,2,TP,1784898446922
20260724_211400,P02,TREND,SHORT,1784910736471,1784910770209,1857.63,1.166,0.21,0.89,1.17,3.32,1858.80,1854.31,2,TP,1784911686764
20260726_140817,P01,,SHORT,1785045910107,1785045973950,1883.17,0.455,0.01,1.73,0.55,2.80,1883.72,1880.37,3,TP,1785047045037
20260726_140817,P02,REVERSAL,LONG,1785047716683,1785047742178,1880.39,0.6475,0.01,0.29,0.65,2.80,1879.74,1883.19,3,TP,1785048782501
